Warning: The created OpenGL context does not fully meet the settings that were requested
Requested: version = 1.1 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Created: version = 0.0 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Setting vertical sync failed
magnitude;type;tk
4.93255;0;0.0013
4.93255;0;0.0013
4.93255;0;0.0013
4.93255;0;0.0013
4.93255;1;0.0013
4.93255;2;0.0013
4.88276;0;0.0013
4.88276;0;0.0013
4.88276;0;0.0013
4.88276;0;0.0013
4.88276;1;0.0013
4.88276;2;0.0013
0.00410403;0;0.0013
0.00410403;1;0.0013
0.00410403;1;0.0013
2.06591;0;0.0014
2.06591;0;0.0014
2.06591;0;0.0014
2.06591;1;0.0014
2.06591;1;0.0014
2.06591;2;0.0014
2.08251;0;0.0014
2.08251;0;0.0014
2.08251;0;0.0014
2.08251;1;0.0014
2.08251;1;0.0014
2.14146;0;0.0014
2.14146;0;0.0014
2.14146;0;0.0014
2.14146;1;0.0014
2.14146;1;0.0014
2.11053;0;0.0014
2.11053;0;0.0014
2.11053;0;0.0014
2.11053;1;0.0014
2.11053;1;0.0014
5.83281;0;0.0014
5.83281;0;0.0014
5.83281;0;0.0014
5.83281;0;0.0014
5.83281;1;0.0014
5.83281;2;0.0014
5.78302;0;0.0014
5.78302;0;0.0014
5.78302;0;0.0014
5.78302;0;0.0014
5.78302;1;0.0014
5.78302;2;0.0014
0.00474132;0;0.0014
0.00474132;1;0.0014
0.00474132;1;0.0014
2.06591;0;0.0015
2.06591;0;0.0015
2.06591;0;0.0015
2.06591;1;0.0015
2.06591;1;0.0015
2.06591;2;0.0015
2.08251;0;0.0015
2.08251;0;0.0015
2.08251;0;0.0015
2.08251;1;0.0015
2.08251;1;0.0015
2.14146;0;0.0015
2.14146;0;0.0015
2.14146;0;0.0015
2.14146;1;0.0015
2.14146;1;0.0015
2.11053;0;0.0015
2.11053;0;0.0015
2.11053;0;0.0015
2.11053;1;0.0015
2.11053;1;0.0015
6.80788;0;0.0015
6.80788;0;0.0015
6.80788;0;0.0015
6.80788;0;0.0015
6.80788;1;0.0015
6.80788;2;0.0015
6.75808;0;0.0015
6.75808;0;0.0015
6.75808;0;0.0015
6.75808;0;0.0015
6.75808;1;0.0015
6.75808;2;0.0015
0.00544492;0;0.0015
0.00544492;1;0.0015
0.00544492;1;0.0015
2.06591;0;0.0016
2.06591;0;0.0016
2.06591;0;0.0016
2.06591;1;0.0016
2.06591;1;0.0016
2.06591;2;0.0016
2.08251;0;0.0016
2.08251;0;0.0016
2.08251;0;0.0016
2.08251;1;0.0016
2.08251;1;0.0016
2.14146;0;0.0016
2.14146;0;0.0016
2.14146;0;0.0016
2.14146;1;0.0016
2.14146;1;0.0016
2.11053;0;0.0016
2.11053;0;0.0016
2.11053;0;0.0016
2.11053;1;0.0016
2.11053;1;0.0016
7.85768;0;0.0016
7.85768;0;0.0016
7.85768;0;0.0016
7.85768;0;0.0016
7.85768;1;0.0016
7.85768;2;0.0016
7.80789;0;0.0016
7.80789;0;0.0016
7.80789;0;0.0016
7.80789;0;0.0016
7.80789;1;0.0016
7.80789;2;0.0016
0.0062128;0;0.0016
0.0062128;1;0.0016
0.0062128;1;0.0016
2.06591;0;0.0017
2.06591;0;0.0017
2.06591;0;0.0017
2.06591;1;0.0017
2.06591;1;0.0017
2.06591;2;0.0017
2.08251;0;0.0017
2.08251;0;0.0017
2.08251;0;0.0017
2.08251;1;0.0017
2.08251;1;0.0017
2.14146;0;0.0017
2.14146;0;0.0017
2.14146;0;0.0017
2.14146;1;0.0017
2.14146;1;0.0017
2.11053;0;0.0017
2.11053;0;0.0017
2.11053;0;0.0017
2.11053;1;0.0017
2.11053;1;0.0017
8.98217;0;0.0017
8.98217;0;0.0017
8.98217;0;0.0017
8.98217;0;0.0017
8.98217;1;0.0017
8.98217;2;0.0017
8.93237;0;0.0017
8.93237;0;0.0017
8.93237;0;0.0017
8.93237;0;0.0017
8.93237;1;0.0017
8.93237;2;0.0017
0.0070434;0;0.0017
0.0070434;1;0.0017
0.0070434;1;0.0017
2.06591;0;0.0018
